"","trueNe","trueNe2","trueNe3","trueNe4","Ne","NeSv","Ne2","NeSv2","alpha","pcrit","r2","Va","Se","Sved","Jp","IndComp","Cjup","Cjdown","Njup","Njdown","lJup","Ljdown","pup","pdown","CjupSv","CjdownSv","NjupSv","NjdownSv","lJupSv","LjdownSv","pupSv","pdownSv","pop_size","sample_size","n_loci","al_per_loc","n_gen","n_rep","allele_dist"
"1",99.5,101.015228426,111.173184358,102.051282051,100.384324230988,100.645742023815,NA,NA,0.01,0,0.0135710988977097,9.6720690876168e-06,0.0031099950301595,0.0102591521960355,39.3702885288086,57,-99.3693484955085,24.2111790910268,-72.0590818644392,27.3561971277267,-152.334149124858,18.4301877584402,-216.802487847574,23.4760651523475,-99.0730940364245,26.3494569434404,-70.9390469446465,29.4392218864798,-154.459832163515,20.6849905595416,-223.364397195304,25.6277712941496,100,100,5,10,50,10,1
"2",116.374269006,95.2153110048,107.567567568,103.645833333,62.6326976582897,65.3290163724525,NA,NA,0.01,0,0.0154651414794122,6.53598640443643e-06,0.0025565575300463,0.0103627635187073,54.8607793188418,157,-518.045071727315,24.3591310630086,-233.675766705437,26.1659527643494,-825.929677408182,17.8546680949149,228.54612206285,28.7092339968733,-483.246394082313,26.714744376553,-224.788127536738,28.520172696897,-743.449171240789,20.2498213480197,237.836788144402,31.0662788130623,100,100,5,10,50,10,1
"3",111.173184358,93.4272300469,103.10880829,87.2807017544,209.296133306838,194.881928033815,NA,NA,0.01,0,0.0118958880385717,6.20707813534864e-06,0.00249140083795214,0.0101854506640221,100.295738508661,77,-88.3158877139935,34.9714322714375,-70.8741658040901,39.5118748871391,-184.366793508301,43.2486176258329,-154.135055430698,37.2296564912256,-89.3835738920674,36.6262017032441,-70.8167263839061,41.0112017520954,-196.686985020079,44.6108238072594,-161.961713037267,38.8085775554886,100,100,5,10,50,10,1
"4",93.4272300469,97.5490196078,89.6396396396,90.4545454545,420.697509074465,442.993905512503,NA,NA,0.01,0,0.0111074363298192,1.23007065311527e-05,0.00350723630956807,0.0103549805303479,162.502358300722,57,-55.9069722472363,25.820850754928,-42.3992160834075,31.7212566270756,-183.962345287528,68.117608487173,-108.063801419239,36.0158385997301,-53.5989746261032,28.1565771566562,-40.2499379733134,34.0605330014338,-178.412037614091,70.789291288817,-104.832860090444,38.3703311490597,100,100,5,10,50,10,1
"5",109.340659341,105.291005291,95.6730769231,102.577319588,143.849671670713,158.864057240164,NA,NA,0.01,0,0.0126028888360234,5.3355987808811e-06,0.00230989150846552,0.0105046588202219,76.5064056053726,78,-118.100030754164,34.7358951587328,-92.9505929036783,38.2953734185388,-196.037257959403,32.4983594858297,-199.37801627626,32.851143872685,-109.018118167221,37.7129399107045,-86.5428569731841,41.4175594541667,-175.072758171429,35.3934111214257,-177.788905089781,35.7586363390069,100,100,5,10,50,10,1
"6",99.5,96.1352657005,93.8679245283,99.0049751244,285.626417378566,302.353292015208,NA,NA,0.01,0,0.0114775678713995,9.37598700401199e-06,0.00306202335131723,0.0103751048186189,118.947115337823,75,-66.0821403557215,29.3255261101715,-51.5292313595183,34.6479155335536,-176.249194528523,52.1809944341579,-134.647951321311,39.9238882252292,-63.3913529694149,31.7212026565349,-49.1295248689463,37.0794207544006,-169.240924169652,54.8380303406397,-129.714066619865,42.4076367091291,100,100,5,10,50,10,1
"7",101.015228426,104.188481675,94.7619047619,99.5,-482.067217725528,-530.89501578272,NA,NA,0.01,0,0.00962456433483619,5.79532221215655e-06,0.00240734754702277,0.0102524348618214,33.9664713637764,57,-59.7792116229201,48.1370549566334,-50.3299697704803,58.3886489416847,-71.8848063051289,32.80424473258,-83.2887483039306,51.7719897669012,-58.4529271127691,49.7998452013608,-48.8129647435371,59.8116978746054,-70.8614951002014,34.7705445007421,-82.6096215525316,53.3536249714364,100,100,5,10,50,10,1
"8",93.4272300469,94.3127962085,110.555555556,117.75147929,51.0650445807985,53.3226206421269,NA,NA,0.01,0,0.0165820152858882,7.96785591096466e-06,0.00282273907950499,0.0103307596401748,68.0659533359542,67,-3138.56189331035,20.7984102933471,-332.78481640859,22.3481877555944,435.369461473357,17.6078495123645,454.704818012519,17.4676854494408,-2824.01056814081,23.1160377080773,-326.913282293374,24.650912846573,444.306213130799,19.967677356604,464.265862320743,19.8298302893455,100,100,5,10,50,10,1
"9",103.10880829,101.530612245,104.736842105,100.505050505,51.3183963657968,54.0028868735464,NA,NA,0.01,0,0.0165523955303288,1.55864831809112e-05,0.00394797203395758,0.0103798860103494,35.7062937416912,53,-155.392052985517,15.981372191958,-86.712095076526,17.9825831100032,-506.03789845632,11.9213986693214,1523.21147579193,15.4336769813401,-149.170917035518,18.4211615486493,-83.4002091529653,20.3975753735063,-461.49340628032,14.4644672954754,2114.35509360736,17.8825359245078,100,100,5,10,50,10,1
"10",106.989247312,98.0295566502,92.9906542056,106.989247312,51.1204236540171,53.3372078954719,NA,NA,0.01,0,0.0165755168625343,9.75568378943014e-06,0.00312340900130453,0.0103259708798014,34.283136960888,65,-488.583951533065,19.325749337484,-188.386793026563,21.0107237131185,-451.340580902296,11.5323426583294,500.548237982196,17.2109947045203,-481.622429938566,21.6538678635509,-185.615974102142,23.3183161262905,-445.098054075198,14.059312244949,507.966195513147,19.5720021918678,100,100,5,10,50,10,1
