"","trueNe","trueNe2","trueNe3","trueNe4","Ne","NeSv","Ne2","NeSv2","alpha","pcrit","r2","Va","Se","Sved","Jp","IndComp","Cjup","Cjdown","Njup","Njdown","lJup","Ljdown","pup","pdown","CjupSv","CjdownSv","NjupSv","NjdownSv","lJupSv","LjdownSv","pupSv","pdownSv","pop_size","sample_size","n_loci","al_per_loc","n_gen","n_rep","allele_dist"
"1",194.160583942,213.941018767,212.8,210,121.11185409853,159.377333594771,NA,NA,0.01,0,0.0130242357757762,8.44342145414463e-06,0.00290575660614316,0.0109327631314863,130.40838196357,88,-95.5169994693265,27.0027923986598,-71.7543006135594,30.4911446385941,-510.980014719853,39.3269882619878,-276.089578990889,32.5651278913202,-79.7606117939444,30.9090359913198,-61.8055332797206,34.8084977693674,-262.726395959031,44.9475939049699,-182.134150907437,37.1547311653894,200,100,5,10,50,25,1
"2",185.150812065,211.671087533,222.905027933,213.368983957,-342.913205508131,-258.738980176179,NA,NA,0.01,0,0.00934106885321277,2.21040543980695e-06,0.00148674323264205,0.0106293684867135,187.067657094846,159,-78.4099016939466,99.0785900932352,-71.3473403308719,114.782733212276,-111.056504736726,158.636438265611,-106.140923101571,137.108746520439,-71.3201370009257,111.719056333411,-65.1309260766375,131.166610355697,-98.9769183707072,189.02301402826,-94.9101341129631,159.94211624226,200,100,5,10,50,25,1
"3",196.068796069,201.515151515,202.025316456,213.941018767,181.140839647612,237.716631003341,NA,NA,0.01,0,0.0121381598497842,5.28667480293894e-06,0.00229927701744243,0.0107359300944389,86.3550439309024,111,-103.449854554831,36.7710586432586,-83.2535208688132,40.876420273699,-181.047055911381,37.9091240584141,-221.364751697858,43.3533641093674,-90.0030585226939,40.9608249095318,-73.7411677180765,45.5076557401588,-146.255103561715,42.2160301716661,-172.10328938348,48.2762435939307,200,100,5,10,50,25,1
"4",204.092071611,194.160583942,186.885245902,189.548693587,1704.7327212873,650.48711477331,NA,NA,0.01,0,0.0105142966430712,4.46473698052921e-06,0.00211299242320677,0.0100018601539188,103.076102127134,113,-76.8976610255025,49.6781722515463,-65.5300015823159,56.9745309635081,-121.83455284822,61.995521383971,-126.566919836713,65.7947270783944,-80.6260551580961,49.4016915328288,-67.6095314416706,55.9740145735323,-135.210302314541,60.4483906666111,-141.267696282909,63.8079453929387,200,100,5,10,50,25,1
"5",183.027522936,188.65248227,201.007556675,200,1492.16408261669,300.385296315923,NA,NA,0.01,0,0.0105420792991048,3.9785623559332e-06,0.0019946333888545,0.00943239338098067,54.2361925792547,89,-81.2507507669472,52.8015218936048,-69.8333766859248,60.0345240969145,-95.2333462364476,39.3217675349972,-115.511782330138,55.8219797820831,-100.388351720843,47.9473720912221,-82.7509894903798,53.3544954252597,-123.931954292483,37.3800169462626,-162.53704656019,50.226983035474,200,100,5,10,50,25,1
"6",192.753623188,199.002493766,190.909090909,174.23580786,372.777555921964,350.287269475033,NA,NA,0.01,0,0.0112082229649086,6.80963651277529e-06,0.00260952802490705,0.0102566230571161,210.465579462528,88,-73.0079274486611,35.9311961631453,-59.1512684190772,41.6183644335003,-226.365726135469,75.4144357079722,-136.144935014408,46.782244234217,-71.9508931777511,37.8576297687109,-57.7690854456275,43.4406828122288,-234.142902528351,76.4337531781103,-137.55800367377,48.5037970942711,200,100,5,10,50,25,1
"7",202.538071066,211.671087533,193.689320388,225.423728814,-218.581473272522,-156.892461459379,NA,NA,0.01,0,0.00877957378070503,3.21780745301818e-06,0.00179382481112794,0.0109041712931205,143.701943623201,127,-62.9080772210046,86.4172318353035,-56.1087917077746,106.073153407207,-91.6896878322105,179.397517644442,-89.0844394003934,155.821777018656,-55.0212653728741,104.832051602419,-49.4179746662326,133.547597016739,-77.4708003311594,266.355526052646,-75.5192649248011,218.492292759376,200,100,5,10,50,25,1
"8",195.588235294,211.111111111,196.068796069,192.289156627,111.182118661057,95.2308003852964,NA,NA,0.01,0,0.0132612653871885,8.66602315056731e-06,0.00294381099097196,0.00976099728081224,54.1117007390848,126,-99.5905760473451,26.1378907440899,-73.8450634210172,29.4440337552794,-183.10853508948,23.8145705175835,-635.070755730489,37.0990879415608,-116.607087718212,27.0982621066448,-81.6495860200352,30.0760308558062,-259.809645296546,24.9905191548266,10610.3051163798,36.8665464517804,200,100,5,10,50,25,1
"9",201.515151515,193.220338983,203.053435115,187.323943662,234.003867331065,316.301995154084,NA,NA,0.01,0,0.0117308769398371,6.15786190621076e-06,0.00248150396054706,0.0106770317588387,122.697135308706,100,-85.4272356094625,35.7563942531857,-68.9433434521961,40.5327880859612,-199.358276001216,49.9435298267596,-172.99147128608,44.7476399331968,-76.5485157696374,39.5665553070283,-62.4443608554315,44.7681131304053,-162.806160434202,55.1917655721483,-144.427324051806,49.4079265780932,200,100,5,10,50,25,1
"10",183.448275862,212.234042553,208.90052356,195.11002445,346.197905151737,392.959502176146,NA,NA,0.01,0,0.0112760833582515,3.65057095465348e-06,0.0019106467372734,0.0104278195257513,88.0743437152172,127,-101.325081728273,49.251479779439,-86.1027135688039,54.5513588708913,-138.815871171332,46.0699621878379,-170.125966247222,56.898655431096,-96.1787732105677,52.2899306257559,-81.8350155809509,57.7724411969671,-130.930024980559,49.0091172134481,-159.337758610619,60.207383954075,200,100,5,10,50,25,1
